UNDERLYING                          ,SYMBOL    ,JUL-18     ,AUG-18     ,SEP-18     ,DEC-18     ,MAR-19     ,JUN-19     ,DEC-19     ,JUN-20     ,DEC-20     ,JUN-21     ,DEC-21     ,JUN-22     ,DEC-22     ,JUN-23     ,           
NIFTY BANK                          ,BANKNIFTY ,40         ,40         ,40         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY CPSE                          ,NIFTYCPSE ,250        ,250        ,250        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
FTSE 100 INDEX                      ,FTSE100   ,100        ,100        ,100        ,100        ,100        ,100        ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY 50                            ,NIFTY     ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,75         ,           
NIFTY INFRASTRUCTURE                ,NIFTYINFRA,225        ,225        ,225        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY IT                            ,NIFTYIT   ,50         ,50         ,50         ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY MIDCAP 50                     ,NIFTYMID50,110        ,110        ,110        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NIFTY PSE                           ,NIFTYPSE  ,200        ,200        ,200        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
INDIA VOLATILITY INDEX              ,INDIAVIX  ,900        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
Derivatives on Individual Securities,Symbol    ,JUL-18     ,AUG-18     ,SEP-18     ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ACC LIMITED                         ,ACC       ,400        ,400        ,400        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AUROBINDO PHARMA LTD                ,AUROPHARMA,1000       ,1000       ,1000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BHARAT ELECTRONICS LTD              ,BEL       ,4950       ,4950       ,4950       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
BEML LIMITED                        ,BEML      ,500        ,500        ,500        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ALLAHABAD BANK                      ,ALBK      ,11000      ,11000      ,11000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
AMARA RAJA BATTERIES LTD.           ,AMARAJABAT,700        ,700        ,700        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ANDHRA BANK                         ,ANDHRABANK,13000      ,13000      ,13000      ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ARVIND LIMITED                      ,ARVIND    ,2000       ,2000       ,2000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
CENTURY TEXTILES LTD                ,CENTURYTEX,550        ,550        ,550        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,4000       ,4000       ,4000       ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ASIAN PAINTS LIMITED                ,ASIANPAINT,600        ,600        ,600        ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
